Loading datasets...
Running Hyper-parameter Search...
Bg: 0.0, W: 1.0 | Acc: 88.21% | Latency: 0.464ms
Bg: 0.0, W: 1.5 | Acc: 67.10% | Latency: 0.745ms
Bg: 0.0, W: 2.0 | Acc: 49.27% | Latency: 0.699ms
Bg: 5.0, W: 1.0 | Acc: 85.59% | Latency: 0.477ms
Bg: 5.0, W: 1.5 | Acc: 62.91% | Latency: 1.426ms
Bg: 5.0, W: 2.0 | Acc: 45.38% | Latency: 0.712ms
Bg: 10.0, W: 1.0 | Acc: 81.50% | Latency: 0.450ms
Bg: 10.0, W: 1.5 | Acc: 58.22% | Latency: 0.730ms
Bg: 10.0, W: 2.0 | Acc: 41.41% | Latency: 0.697ms
Bg: 20.0, W: 1.0 | Acc: 69.77% | Latency: 0.447ms
Bg: 20.0, W: 1.5 | Acc: 48.13% | Latency: 0.734ms
Bg: 20.0, W: 2.0 | Acc: 33.47% | Latency: 0.825ms
Bg: 40.0, W: 1.0 | Acc: 44.83% | Latency: 0.450ms
Bg: 40.0, W: 1.5 | Acc: 29.40% | Latency: 0.728ms
Bg: 40.0, W: 2.0 | Acc: 19.13% | Latency: 0.693ms
\nBest Params Found: Bg=0.0, Weight=1.0 -> Accuracy = 88.21%
Condition A (Base: Clean BMPs) | Acc: 88.21% | Latency: 0.446ms
Condition B (Low Light: 10% Intensity, 2px Noise) | Acc: -16.76% | Latency: 0.452ms
Condition C (High Bg Noise: 20px Noise) | Acc: -16.19% | Latency: 0.453ms
Condition D (Sub-pixel Misalignment: 2.5px shift) | Acc: -3774.02% | Latency: 0.444ms
